"geografie","geslacht","migratieachtergrond","huishouden","bins","uitkomst","N","mean","parents_income","opleiding_ouders","type","uitkomst_NL"
"Groningen","Total","Total","Total","0% - 10%","c00_infant_mortality",1962,1.22324159021407,21.8317835465096,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","10% - 20%","c00_infant_mortality",1962,0.866462793068298,32.8879465801093,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","20% - 30%","c00_infant_mortality",1962,1.12130479102956,45.4525901032167,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","30% - 40%","c00_infant_mortality",1960,0.612244897959184,57.537056514973,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","40% - 50%","c00_infant_mortality",1960,0.561224489795918,68.5030821564053,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","50% - 60%","c00_infant_mortality",1960,0.86734693877551,79.3618193833142,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","60% - 70%","c00_infant_mortality",1960,0.663265306122449,91.1063129725514,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","70% - 80%","c00_infant_mortality",1960,0.663265306122449,105.143851024496,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","80% - 90%","c00_infant_mortality",1960,0.612244897959184,124.666536378124,"Total",10,"Zuigelingensterfte"
"Groningen","Total","Total","Total","90% - 100%","c00_infant_mortality",1960,0.714285714285714,185.215114676266,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","0% - 10%","c00_infant_mortality",4218,0.85348506401138,25.8379003818563,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","10% - 20%","c00_infant_mortality",4218,0.545282124229493,43.7834550046818,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","20% - 30%","c00_infant_mortality",4218,0.640113798008535,59.7403466071185,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","30% - 40%","c00_infant_mortality",4218,0.663821716453295,73.6702658876999,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","40% - 50%","c00_infant_mortality",4217,0.569091262439909,86.6972810697682,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","50% - 60%","c00_infant_mortality",4216,0.569259962049336,100.20610323073,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","60% - 70%","c00_infant_mortality",4216,0.830170777988615,114.104950758624,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","70% - 80%","c00_infant_mortality",4216,0.569259962049336,130.753477871019,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","80% - 90%","c00_infant_mortality",4216,0.47438330170778,153.949111496786,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Total","90% - 100%","c00_infant_mortality",4216,0.403225806451613,221.804406596034,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","0% - 10%","c00_infant_mortality",3896,0.795687885010267,29.7443114258585,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","10% - 20%","c00_infant_mortality",3896,0.616016427104723,49.8613206508647,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","20% - 30%","c00_infant_mortality",3895,0.590494089258576,65.1604590356431,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","30% - 40%","c00_infant_mortality",3894,0.667693888032871,78.4318136230867,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","40% - 50%","c00_infant_mortality",3894,0.59065228556754,91.1086400128468,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","50% - 60%","c00_infant_mortality",3894,0.61633281972265,103.955670097934,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","60% - 70%","c00_infant_mortality",3894,0.744735490498202,117.461360855708,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","70% - 80%","c00_infant_mortality",3894,0.59065228556754,133.743989661781,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","80% - 90%","c00_infant_mortality",3894,0.462249614791988,156.871377897097,"Total",10,"Zuigelingensterfte"
"Utrecht","Total","Total","Two Parents","90% - 100%","c00_infant_mortality",3894,0.410888546481767,225.308874519175,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","0% - 10%","c00_infant_mortality",9326,1.14733004503538,21.1352511584539,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","10% - 20%","c00_infant_mortality",9325,1.19031518881401,32.1844052816704,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","20% - 30%","c00_infant_mortality",9324,0.825825825825826,42.8842536200245,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","30% - 40%","c00_infant_mortality",9324,0.793650793650794,54.9746557510001,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","40% - 50%","c00_infant_mortality",9324,0.868725868725869,67.5553577988683,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","50% - 60%","c00_infant_mortality",9324,0.697125697125697,81.9006014771455,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","60% - 70%","c00_infant_mortality",9324,0.579150579150579,98.7472024541576,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","70% - 80%","c00_infant_mortality",9324,0.514800514800515,119.861075897514,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","80% - 90%","c00_infant_mortality",9324,0.471900471900472,151.217805032395,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Total","90% - 100%","c00_infant_mortality",9324,0.493350493350493,265.325820825063,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","0% - 10%","c00_infant_mortality",7606,1.3016039968446,24.8035741804795,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","10% - 20%","c00_infant_mortality",7605,0.736361130218772,38.7914800281137,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","20% - 30%","c00_infant_mortality",7604,0.762756443976854,52.0588028698525,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","30% - 40%","c00_infant_mortality",7604,0.854813256180957,64.4574551631431,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","40% - 50%","c00_infant_mortality",7604,0.710152551288795,77.6454194081751,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","50% - 60%","c00_infant_mortality",7604,0.512887953708574,92.0638251683579,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","60% - 70%","c00_infant_mortality",7604,0.591793792740663,108.64565375288,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","70% - 80%","c00_infant_mortality",7604,0.407680168332457,129.586025469841,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","80% - 90%","c00_infant_mortality",7604,0.47343503419253,161.303668669728,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","Total","Two Parents","90% - 100%","c00_infant_mortality",7604,0.486586007364545,279.34762845811,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","No Migration Background","Total","0% - 10%","c00_infant_mortality",3400,0.764705882352941,29.9782516974273,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","No Migration Background","Total","10% - 20%","c00_infant_mortality",3400,0.882352941176471,52.9062616491763,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","No Migration Background","Total","20% - 30%","c00_infant_mortality",3398,0.765155974102413,69.1389535821345,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","No Migration Background","Total","30% - 40%","c00_infant_mortality",3398,0.529723366686286,83.9923815468575,"Total",10,"Zuigelingensterfte"
"Amsterdam","Total","No Migration Background","Total","40% - 50%","c00_infant_mortality",3398,0.470865214832254,98.2886333298353,"Total",10,"Zuigelingensterfte"
