geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL
Groningen,Total,Total,Total,0% - 5%,c00_preterm_birth,974,6.6735112936345,17.7300276330546,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,5% - 10%,c00_preterm_birth,974,7.90554414784394,25.9574244249353,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,10% - 15%,c00_preterm_birth,974,7.08418891170431,30.257973475808,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,15% - 20%,c00_preterm_birth,974,7.49486652977413,35.5873385026762,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,20% - 25%,c00_preterm_birth,974,7.28952772073922,42.2440188324274,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,25% - 30%,c00_preterm_birth,974,6.57084188911704,48.7682174888409,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,30% - 35%,c00_preterm_birth,974,6.6735112936345,54.7229911847887,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,35% - 40%,c00_preterm_birth,974,6.57084188911704,60.4680416008164,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,40% - 45%,c00_preterm_birth,974,7.08418891170431,65.9924264139646,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,45% - 50%,c00_preterm_birth,974,5.13347022587269,71.0955398470277,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,50% - 55%,c00_preterm_birth,974,5.85215605749487,76.4353399709068,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,55% - 60%,c00_preterm_birth,974,7.90554414784394,82.3664762769665,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,60% - 65%,c00_preterm_birth,974,5.54414784394251,88.0177655422946,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,65% - 70%,c00_preterm_birth,974,6.77618069815195,94.3116103189067,Total,20,Vroeggeboorte
Groningen,Total,Total,Total,70% - 75%,c00_preterm_birth,974,5.85215605749487,101.162050100095,Total,20,Vroeggeboorte
