geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL
Groningen,Total,Total,Total,Total,c00_infant_mortality,19606,0.790574313985515,81.1559873293354,Total,1,Zuigelingensterfte
Groningen,Total,Total,Single Parent,Total,c00_infant_mortality,2402,0.791007493755204,39.5889342767979,Total,1,Zuigelingensterfte
Groningen,Total,Total,Two Parents,Total,c00_infant_mortality,17152,0.763759328358209,87.0768828430474,Total,1,Zuigelingensterfte
Groningen,Total,No Migration Background,Total,Total,c00_infant_mortality,13831,0.780854601981057,87.4436262535532,Total,1,Zuigelingensterfte
Groningen,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,12671,0.789203693473286,91.3183599102513,Total,1,Zuigelingensterfte
Groningen,Total,Overig,Total,Total,c00_infant_mortality,4191,0.763540921021236,71.1972485998258,Total,1,Zuigelingensterfte
Groningen,Total,Overig,Two Parents,Total,c00_infant_mortality,3466,0.634737449509521,78.6172217804941,Total,1,Zuigelingensterfte
Groningen,Total,With Migration Background,Total,Total,c00_infant_mortality,5775,0.813852813852814,66.0972282019146,Total,1,Zuigelingensterfte
Groningen,Total,With Migration Background,Single Parent,Total,c00_infant_mortality,1269,1.02442868400315,35.0120423383289,Total,1,Zuigelingensterfte
Groningen,Total,With Migration Background,Two Parents,Total,c00_infant_mortality,4481,0.691809863869672,75.0831859185796,Total,1,Zuigelingensterfte
Groningen,Men,Total,Total,Total,c00_infant_mortality,9990,0.800800800800801,81.3499578501373,Total,1,Zuigelingensterfte
Groningen,Men,Total,Single Parent,Total,c00_infant_mortality,1253,0.798084596967279,39.255834443219,Total,1,Zuigelingensterfte
Groningen,Men,Total,Two Parents,Total,c00_infant_mortality,8706,0.746611532276591,87.5321454547594,Total,1,Zuigelingensterfte
Groningen,Men,No Migration Background,Total,Total,c00_infant_mortality,7077,0.777165465592765,87.5261252857768,Total,1,Zuigelingensterfte
Groningen,Men,No Migration Background,Two Parents,Total,c00_infant_mortality,6461,0.789351493576846,91.6393998141798,Total,1,Zuigelingensterfte
Groningen,Men,Overig,Total,Total,c00_infant_mortality,2146,0.792171481826654,71.790046481007,Total,1,Zuigelingensterfte
Groningen,Men,Overig,Two Parents,Total,c00_infant_mortality,1754,0.627137970353478,79.8302766473036,Total,1,Zuigelingensterfte
Groningen,Men,With Migration Background,Total,Total,c00_infant_mortality,2913,0.858221764503948,66.3452421130892,Total,1,Zuigelingensterfte
Groningen,Men,With Migration Background,Two Parents,Total,c00_infant_mortality,2245,0.623608017817372,75.7116686546635,Total,1,Zuigelingensterfte
Groningen,Women,Total,Total,Total,c00_infant_mortality,9616,0.779950083194676,80.954472613985,Total,1,Zuigelingensterfte
Groningen,Women,Total,Two Parents,Total,c00_infant_mortality,8446,0.781434998816008,86.6076055167906,Total,1,Zuigelingensterfte
Groningen,Women,No Migration Background,Total,Total,c00_infant_mortality,6754,0.784720165827658,87.3571818278726,Total,1,Zuigelingensterfte
Groningen,Women,No Migration Background,Two Parents,Total,c00_infant_mortality,6210,0.789049919484702,90.9843439973234,Total,1,Zuigelingensterfte
Groningen,Women,Overig,Total,Total,c00_infant_mortality,2045,0.733496332518337,70.5751731704787,Total,1,Zuigelingensterfte
Groningen,Women,Overig,Two Parents,Total,c00_infant_mortality,1712,0.642523364485981,77.374407390083,Total,1,Zuigelingensterfte
Groningen,Women,With Migration Background,Total,Total,c00_infant_mortality,2862,0.76869322152341,65.8447947556352,Total,1,Zuigelingensterfte
Groningen,Women,With Migration Background,Two Parents,Total,c00_infant_mortality,2236,0.760286225402504,74.4521735113755,Total,1,Zuigelingensterfte
Almere,Total,Total,Total,Total,c00_infant_mortality,21352,0.674409891345073,75.3178242099075,Total,1,Zuigelingensterfte
Almere,Total,Total,Single Parent,Total,c00_infant_mortality,3387,0.590493061706525,43.8997677771076,Total,1,Zuigelingensterfte
Almere,Total,Total,Two Parents,Total,c00_infant_mortality,17835,0.672834314550042,81.5813146020156,Total,1,Zuigelingensterfte
