geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL,subgroep,sample,sd
Groningen,Totaal,Totaal,Totaal,0% - 10%,c30_age_left_parents,742,21.68059299,18.48219501,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,10% - 20%,c30_age_left_parents,742,22.40431267,33.50719048,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,20% - 30%,c30_age_left_parents,742,22.8180593,46.26989867,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,30% - 40%,c30_age_left_parents,742,23.00404313,56.87614341,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,40% - 50%,c30_age_left_parents,742,22.61725067,66.81396789,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,50% - 60%,c30_age_left_parents,742,22.76954178,76.90596018,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,60% - 70%,c30_age_left_parents,742,22.58086253,89.23276053,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,70% - 80%,c30_age_left_parents,742,21.98382749,105.6551092,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,80% - 90%,c30_age_left_parents,742,21.76010782,129.7012476,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,90% - 100%,c30_age_left_parents,742,20.80997305,209.9588384,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,0% - 10%,c30_age_left_parents,172,21.25,13.87437072,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,10% - 20%,c30_age_left_parents,172,21.50581395,21.99346498,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,20% - 30%,c30_age_left_parents,172,21.66860465,31.75475388,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,30% - 40%,c30_age_left_parents,172,22.1744186,40.3188599,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,40% - 50%,c30_age_left_parents,172,21.95930233,49.47642376,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,50% - 60%,c30_age_left_parents,172,22.25,59.69624959,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,60% - 70%,c30_age_left_parents,172,22.06976744,70.05422327,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,70% - 80%,c30_age_left_parents,170,22.02941176,86.53208451,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,80% - 90%,c30_age_left_parents,170,21.81176471,110.6312142,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Eenoudergezin,90% - 100%,c30_age_left_parents,170,21.05294118,174.149474,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,0% - 10%,c30_age_left_parents,564,22.50177305,22.46548154,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,10% - 20%,c30_age_left_parents,564,23.03546099,39.90689269,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,20% - 30%,c30_age_left_parents,564,23.31914894,52.5643637,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
