geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL
Amsterdam,Totaal,Totaal,Totaal,0% - 5%,c00_infant_mortality,4663,1.28672528415183,16.5346121238724,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,5% - 10%,c00_infant_mortality,4663,1.00793480591894,25.7358901930354,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,10% - 15%,c00_infant_mortality,4663,1.50117949817714,29.9255877063241,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,15% - 20%,c00_infant_mortality,4662,0.87945087945088,34.4432228570166,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,20% - 25%,c00_infant_mortality,4662,0.815100815100815,39.9185432748218,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,25% - 30%,c00_infant_mortality,4662,0.836550836550837,45.8499639652272,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,30% - 35%,c00_infant_mortality,4662,0.750750750750751,52.0083346500609,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,35% - 40%,c00_infant_mortality,4662,0.836550836550837,57.9409768519393,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,40% - 45%,c00_infant_mortality,4662,1.02960102960103,64.1635225430812,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,45% - 50%,c00_infant_mortality,4662,0.707850707850708,70.9471930546554,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,50% - 55%,c00_infant_mortality,4662,0.900900900900901,78.0622584418624,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,55% - 60%,c00_infant_mortality,4662,0.493350493350493,85.7389445124286,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,60% - 65%,c00_infant_mortality,4662,0.622050622050622,94.1209342610578,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,65% - 70%,c00_infant_mortality,4662,0.536250536250536,103.373470647257,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,70% - 75%,c00_infant_mortality,4662,0.579150579150579,113.724435580238,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,75% - 80%,c00_infant_mortality,4662,0.45045045045045,125.997716214791,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,80% - 85%,c00_infant_mortality,4662,0.493350493350493,140.92000820695,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,85% - 90%,c00_infant_mortality,4662,0.45045045045045,161.515601857839,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,90% - 95%,c00_infant_mortality,4662,0.45045045045045,195.115749232426,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,95% - 100%,c00_infant_mortality,4662,0.536250536250536,335.535892417701,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,0% - 5%,c00_infant_mortality,3803,1.28845648172495,19.9328728410748,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,5% - 10%,c00_infant_mortality,3803,1.31475151196424,29.6742755198842,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,10% - 15%,c00_infant_mortality,3803,0.709965816460689,35.4728099856641,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,15% - 20%,c00_infant_mortality,3802,0.762756443976854,42.1101500705633,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,20% - 25%,c00_infant_mortality,3802,0.604944765912678,48.8941925869643,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,25% - 30%,c00_infant_mortality,3802,0.920568122041031,55.2234131527406,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,30% - 35%,c00_infant_mortality,3802,0.999473961073119,61.2470567350317,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,35% - 40%,c00_infant_mortality,3802,0.710152551288795,67.6678535912546,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,40% - 45%,c00_infant_mortality,3802,0.710152551288795,74.2483613743218,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,45% - 50%,c00_infant_mortality,3802,0.710152551288795,81.0424774420284,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,50% - 55%,c00_infant_mortality,3802,0.526038926880589,88.2575848331804,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,55% - 60%,c00_infant_mortality,3802,0.49973698053656,95.8700655035354,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,60% - 65%,c00_infant_mortality,3802,0.526038926880589,104.119704706368,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,65% - 70%,c00_infant_mortality,3802,0.657548658600736,113.171602799391,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,70% - 75%,c00_infant_mortality,3802,0.447133087848501,123.557135709142,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,75% - 80%,c00_infant_mortality,3802,0.368227248816412,135.61491523054,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,80% - 85%,c00_infant_mortality,3802,0.552340873224619,150.705638063612,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,85% - 90%,c00_infant_mortality,3802,0.394529195160442,171.901699275843,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,90% - 95%,c00_infant_mortality,3802,0.394529195160442,206.251260369457,Totaal,20,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,95% - 100%,c00_infant_mortality,3802,0.578642819568648,352.443996546764,Totaal,20,Zuigelingensterfte
