geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL
Groningen,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,19479,6.60711535499769,81.1997356883113,Totaal,1,Vroeggeboorte
Groningen,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,2390,8.11715481171548,39.6131711067236,Totaal,1,Vroeggeboorte
Groningen,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,17042,6.40183077103626,87.1132024006645,Totaal,1,Vroeggeboorte
Groningen,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,12577,6.3687683867377,88.4185620862601,Totaal,1,Vroeggeboorte
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,969,8.7719298245614,45.1191843377464,Totaal,1,Vroeggeboorte
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,11585,6.17177384548986,92.0800922845985,Totaal,1,Vroeggeboorte
Groningen,Totaal,Turkije,Totaal,Totaal,c00_preterm_birth,233,4.72103004291846,57.3635233487732,Totaal,1,Vroeggeboorte
Groningen,Totaal,Marokko,Totaal,Totaal,c00_preterm_birth,254,7.08661417322835,56.4688274826024,Totaal,1,Vroeggeboorte
Groningen,Totaal,Marokko,Tweeoudergezin,Totaal,c00_preterm_birth,197,7.10659898477157,63.1835936043765,Totaal,1,Vroeggeboorte
Groningen,Totaal,Suriname,Totaal,Totaal,c00_preterm_birth,622,9.48553054662379,60.0656760979113,Totaal,1,Vroeggeboorte
Groningen,Totaal,Suriname,Eenoudergezin,Totaal,c00_preterm_birth,184,8.69565217391304,35.5566784459743,Totaal,1,Vroeggeboorte
Groningen,Totaal,Suriname,Tweeoudergezin,Totaal,c00_preterm_birth,435,9.88505747126437,70.6758051367424,Totaal,1,Vroeggeboorte
Groningen,Totaal,Nederlandse Antillen,Totaal,Totaal,c00_preterm_birth,711,7.31364275668073,46.382995732186,Totaal,1,Vroeggeboorte
Groningen,Totaal,Nederlandse Antillen,Eenoudergezin,Totaal,c00_preterm_birth,341,7.03812316715543,34.0670959688039,Totaal,1,Vroeggeboorte
Groningen,Totaal,Nederlandse Antillen,Tweeoudergezin,Totaal,c00_preterm_birth,367,7.62942779291553,57.8486041372101,Totaal,1,Vroeggeboorte
Groningen,Totaal,Overig,Totaal,Totaal,c00_preterm_birth,5082,6.80834317197954,73.1211043869329,Totaal,1,Vroeggeboorte
Groningen,Totaal,Overig,Eenoudergezin,Totaal,c00_preterm_birth,797,7.65370138017566,36.9180238149643,Totaal,1,Vroeggeboorte
Groningen,Totaal,Overig,Tweeoudergezin,Totaal,c00_preterm_birth,4269,6.65261185289295,80.0125979866186,Totaal,1,Vroeggeboorte
Groningen,Totaal,Wel migratieachtergrond,Totaal,Totaal,c00_preterm_birth,6902,7.041437264561,68.0454065653033,Totaal,1,Vroeggeboorte
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,1421,7.67065446868403,35.8585428021064,Totaal,1,Vroeggeboorte
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,5457,6.89023272860546,76.5686872265074,Totaal,1,Vroeggeboorte
Groningen,Mannen,Totaal,Totaal,Totaal,c00_preterm_birth,9927,7.05147577314395,81.4067299028664,Totaal,1,Vroeggeboorte
Groningen,Mannen,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,1247,9.46271050521251,39.3180195744597,Totaal,1,Vroeggeboorte
Groningen,Mannen,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,8654,6.70210307372313,87.562063046041,Totaal,1,Vroeggeboorte
Groningen,Mannen,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,6458,6.82873954784763,89.0637847322983,Totaal,1,Vroeggeboorte
Groningen,Mannen,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,499,10.2204408817635,44.8620151879736,Totaal,1,Vroeggeboorte
Groningen,Mannen,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,5946,6.54221325260679,92.8277847191257,Totaal,1,Vroeggeboorte
Groningen,Mannen,Marokko,Totaal,Totaal,c00_preterm_birth,116,9.48275862068965,56.2003441460009,Totaal,1,Vroeggeboorte
Groningen,Mannen,Suriname,Totaal,Totaal,c00_preterm_birth,310,11.2903225806452,58.7621746506485,Totaal,1,Vroeggeboorte
Groningen,Mannen,Suriname,Eenoudergezin,Totaal,c00_preterm_birth,93,15.0537634408602,34.8715971650386,Totaal,1,Vroeggeboorte
Groningen,Mannen,Suriname,Tweeoudergezin,Totaal,c00_preterm_birth,216,9.72222222222222,69.197688680914,Totaal,1,Vroeggeboorte
Groningen,Mannen,Nederlandse Antillen,Totaal,Totaal,c00_preterm_birth,366,8.19672131147541,44.6609736515491,Totaal,1,Vroeggeboorte
Groningen,Mannen,Nederlandse Antillen,Eenoudergezin,Totaal,c00_preterm_birth,177,7.90960451977401,33.0269799101482,Totaal,1,Vroeggeboorte
Groningen,Mannen,Nederlandse Antillen,Tweeoudergezin,Totaal,c00_preterm_birth,186,8.60215053763441,55.7481096263697,Totaal,1,Vroeggeboorte
Groningen,Mannen,Overig,Totaal,Totaal,c00_preterm_birth,2569,6.88984040482678,72.4188755946401,Totaal,1,Vroeggeboorte
Groningen,Mannen,Overig,Eenoudergezin,Totaal,c00_preterm_birth,435,7.81609195402299,36.6763560694173,Totaal,1,Vroeggeboorte
Groningen,Mannen,Overig,Tweeoudergezin,Totaal,c00_preterm_birth,2125,6.68235294117647,79.881509849916,Totaal,1,Vroeggeboorte
Groningen,Mannen,Wel migratieachtergrond,Totaal,Totaal,c00_preterm_birth,3469,7.46612856731046,67.1521147144921,Totaal,1,Vroeggeboorte
Groningen,Mannen,Wel migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,748,8.9572192513369,35.6195519125032,Totaal,1,Vroeggeboorte
Groningen,Mannen,Wel migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,2708,7.05317577548006,76.0000316323919,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Totaal,Totaal,Totaal,c00_preterm_birth,9552,6.14530988274707,80.984615130534,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,1143,6.64916885389326,39.9351780714945,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,8388,6.09203624225083,86.6501075002009,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,6119,5.8833142670371,87.7375933253327,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,470,7.23404255319149,45.3922213712286,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,5639,5.78116687355914,91.2916937714403,Totaal,1,Vroeggeboorte
Groningen,Vrouwen,Suriname,Totaal,Totaal,c00_preterm_birth,312,7.69230769230769,61.360821766666,Totaal,1,Vroeggeboorte
