"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Totaal","Totaal","Totaal","Totaal","wo","c00_infant_mortality",0.450895259591321,126.396156155884,191397,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Totaal","Totaal","hbo","c00_infant_mortality",0.49523199890266,98.4008066350308,349937,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.717993722791169,71.190169775312,954883,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Eenoudergezin","Totaal","wo","c00_infant_mortality",0.466915688367129,82.5053996907208,7496,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.496493025455119,62.0363898347984,12689,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.745488213226899,39.7217555309385,104227,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.438715857999761,128.200440961409,183718,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.48526112093835,99.7783804016143,336932,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Totaal","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.681138095789178,75.2021393719947,846818,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Zonder migratieachtergrond","Totaal","Totaal","wo","c00_infant_mortality",0.45739046701974,130.02429321832,141236,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Zonder migratieachtergrond","Totaal","Totaal","hbo","c00_infant_mortality",0.495941809494353,100.51130660289,281283,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Zonder migratieachtergrond","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.678610251623472,77.243030124841,598871,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Totaal","Zonder migratieachtergrond","Eenoudergezin","Totaal","wo","c00_infant_mortality",0.651387213510253,90.9194801478012,4145,"parents_edu","Zuigelingensterfte",NA,NA,NA
