geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL
Tilburg,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,3633,6.68868703550785,110369.218876014,wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,5144,7.38724727838258,90059.9486879413,hbo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,10466,7.47181349130518,60372.1437024159,geen hbo of wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,111,15.3153153153153,62019.6280981402,wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,215,10.2325581395349,55677.9367710237,hbo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,1785,8.57142857142857,36077.633920433604,geen hbo of wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,3519,6.42227905655016,111882.831819728,wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,4926,7.2675598863175,91544.7778276931,hbo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,8651,7.2130389550341,65453.3507513886,geen hbo of wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,2525,6.81188118811881,115855.473199236,wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,3534,7.32880588568195,94543.5292914568,hbo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,4888,8.26513911620295,68895.0488039209,geen hbo of wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,57,21.0526315789474,75277.5432797335,wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,112,9.82142857142857,65236.2671085727,hbo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,522,10.5363984674329,42928.3116036114,geen hbo of wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,2465,6.49087221095335,116784.073662102,wo,parents_edu,Vroeggeboorte
Tilburg,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,3420,7.25146198830409,95493.8292389656,hbo,parents_edu,Vroeggeboorte
